region,school,school_quality_indicator_sub_area,additional_school_quality_indicator_sub_area,organization,service_provided,service_type,date_collected,point_of_contact ,,,,
1,Cleveland Elementary,Transitions & Pathways PreK-12,Extended Learning Time,UC Berkeley Laney College & OASES,After School tutors and mentors,Academic Support/Mentoring,11/01/2011,,,,,
High School,Coliseum College Prep Academy,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
High School,Coliseum College Prep Academy,"College, Career & Workforce",Extended Learning Time,BUILD,Entrepreneurship and Mentoring,After School Mentoring,11/11/2011,,,,,
High School,Coliseum College Prep Academy,"College, Career & Workforce",Extended Learning Time,Summer Search,"Summer Program, College Advising, Mentoring",Summer Program and Mentoring,11/11/2011,,,,,
High School,Coliseum College Prep Academy,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/01/2011,,,,,
High School,Coliseum College Prep Academy,Extended Learning Time,,"OUSD, Alameda County (ACoE)", Summer Prep Program; Summer Algebra Program; Elev8,Summer Prep Program,11/11/2011,,,,,
High School,Coliseum College Prep Academy,Extended Learning Time,,Safe Passages,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
High School,Coliseum College Prep Academy,Family & Community Engagement,,Oakland Schools Foundation ,Family Engagement and Leadership Initiative (FamELI),Family Resource Center,11/11/2011,,,,,
High School,Coliseum College Prep Academy,Health & Wellness,,Bechtel,Bechtel Wellness Champions,Coordinated School Health/Nutrition,11/11/2011,,,,,
High School,Coliseum College Prep Academy,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/11/2011,,,,,
High School,Coliseum College Prep Academy,Health & Wellness,,La Clinica de la Raza,School Based Health Center (SBHC) Havenscourt Middle School Campus,School Based Health Center/Health Services,11/11/2011,,,,,
High School,Coliseum College Prep Academy,School Culture,,OUSD,Outreach Consultant,Outreach Consultant,11/11/2011,,,,,
High School,Coliseum College Prep Academy,School Culture,,OUSD,Restorative Justice Program,Restorative Justice,11/11/2011,,,,,
High School,Coliseum College Prep Academy,School Culture,,Real Choices,Gang Intervention,Violence Prevention,11/11/2011,,,,,
High School,Coliseum College Prep Academy,School Culture,Transitions & Pathways PreK-12,Safe Passages,"Summer Bridge Program, History of gangs, and fund Right Choices student Interns",Summer Bridge/Violence Prevention,11/11/2011,,,,,
High School,Coliseum College Prep Academy,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,YMCA of the East Bay,Art Class,Arts Enrichment,11/01/2011,,,,,
Transformation,College Prep and Architecture ,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,YMCA of the East Bay,Urban Arts Class (graffiti),Arts Enrichment,11/01/2011,,,,,
Transformation,College Prep and Architecture ,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
Transformation,College Prep and Architecture ,"College, Career & Workforce",,Project SOAR,Academic program for class of 2011 through California State University East Bay Foundation; funded by US DOE Gear Up Initiative,"Academic Support, Counseling and College Tours",11/01/2011,,,,,
Transformation,College Prep and Architecture ,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,East Bay Consortium ,Tutors/Academic Support,Academic Support,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Extended Learning Time,,Mill College Educational Targeting Center,Academic support ,Academic Support,11/01/2011,,,,,
Transformation,College Prep and Architecture ,Extended Learning Time,Transitions & Pathways PreK-12,OUSD," Summer Prep Program, High School Credit Recovery, Summer Bridge (With Mandela and Media)",Summer Prep Program,11/01/2011,,,,,
Transformation,College Prep and Architecture ,Extended Learning Time,,YMCA of the East Bay,After School Lead Program OUSD,After School Program,11/01/2011,,,,,
Transformation,College Prep and Architecture ,Extended Learning Time,,YMCA of the East Bay,Saturday Credit Recovery online ,Saturday School,11/01/2011,,,,,
Transformation,College Prep and Architecture ,Extended Learning Time,,YMCA of the East Bay,Saturday School,Saturday School,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,?,"Football, Basketball, Volleyball, Badminton, Baseball, Cross Country",Physical & Recreational Activity,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,"Girls, Inc.",Mental Health Services,Mental Health Services,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,La Clinica de la Raza,Mental Health Services,Mental Health Services,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,Mandella High School students,Garden volunteers,Garden,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,OUSD,Nurse 0.6 FTE (Shared with ROOTS),Health Services,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,Seneca Center ,Mental Health/Learning disabilities,Mental Health Services,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,Tiger Health Clinic,"Pregnancy Prevention Curriculum in classes, wellness committee with nutrition education, medical care, counseling services, student peer education group, gardening",Health Education/Health Services,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,Tiger Health Clinic,Wellness Committee,Coordinated School Health/Nutrition,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,TUPE,Tobacco/Marijuana prevention,Health Education,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,YMCA of the East Bay,Cooking Classes/Nutrition,Nutrition Services,11/11/2011,,,,,
Transformation,College Prep and Architecture ,Health & Wellness,,YMCA of the East Bay,Polynesian and Fusion Dance Class,Physical & Recreational Activity,11/11/2011,,,,,
Transformation,College Prep and Architecture ,School Culture,,Libré,Youth development/gang intervention,Violence Prevention,11/01/2011,,,,,
High School,Community Day School,Health & Wellness,,OUSD,1.0 FTE Case Manager,Case Management,11/01/2011,,,,,
High School,Community Day School,Health & Wellness,,Seneca Center,Mental Health Services,Mental Health Services,11/01/2011,,,,,
High School,Community Day School,School Culture,,California Youth Outreach (CYO),Gang Intervention,Violence Prevention,11/01/2011,,,,,
High School,Community Day School,School Culture,,OUSD,Positive Behavior Intervention Support (PBIS),Positive Behavior Interventions & Supports (PBIS),11/01/2011,,,,,
3,Community United Elementary,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,"Girls, Inc.",After School Girls Start literacy program for girls K-3,After School Girl Group,11/11/2011,,,,,
3,Community United Elementary,Extended Learning Time,,Aspiranet,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Community United Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
3,Community United Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
3,Community United Elementary,Extended Learning Time,,OUSD," Summer Prep Program, Hosting Futures Summer Pre-K Camp",Summer Prep Program,11/11/2011,,,,,
3,Community United Elementary,Family & Community Engagement,,Oakland Community Organizations (OCO),Organizes parents and community members,Family Advocate,11/11/2011,,,,,
3,Community United Elementary,Health & Wellness,,Alameda County Food Bank,Health & Wellness,Health & Wellness,11/11/2011,,,,,
3,Community United Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
3,Community United Elementary,Health & Wellness,,East Bay Agency for Children,Health & Wellness,Health & Wellness,11/11/2011,,,,,
3,Community United Elementary,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/01/2011,,,,,
3,Community United Elementary,Health & Wellness,,East Bay Asian Youth Center (EBAYC),Produce Market,Farmers Market,11/11/2011,,,,,
3,Community United Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
3,Community United Elementary,Health & Wellness,,Oakland Schools Foundation ,GREENS collaborative program?,Nutrition,11/11/2011,,,,,
3,Community United Elementary,Health & Wellness,,OUSD,Nurse 0.6 FTE (Shared with Futures),Health Services,03/12/2012,,,,,
3,Community United Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/11/2011,,,,,
3,Community United Elementary,Health & Wellness,,Playworks Sports for Kids,Physical and Recreational Activity,Physical & Recreational Activity,11/01/2011,,,,,
3,Community United Elementary,School Culture,,Developmental Studies Center,School Climate/Violence Prevention,Violence Prevention,11/01/2011,,,,,
3,Community United Elementary,School Culture,Health & Wellness,TransForm,Safe Routes To Schools,Violence Prevention/Physical Activity,11/01/2011,,,,,
3,Community United Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
1,Crocker Highlands Elementary,Extended Learning Time,,OUSD, Summer Prep Program at Chabot,Summer Prep Program,11/01/2011,,,,,
1,Crocker Highlands Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
1,Crocker Highlands Elementary,School Culture,Health & Wellness,TransForm,Safe Routes To Schools,Violence Prevention/Physical Activity,11/01/2011,,,,,
1,Crocker Highlands Elementary,Transitions & Pathways PreK-12,,Adventure Time,Extended Day Care Center,Early Childhood Education,11/11/2011,,,,,
High School,Dewey Continuation Academy,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
High School,Dewey Continuation Academy,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
High School,Dewey Continuation Academy,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,East Bay Consortium ,Tutoring in and out of classrooms,Academic Support,11/11/2011,,,,,
High School,Dewey Continuation Academy,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
High School,Dewey Continuation Academy,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/11/2011,,,,,
High School,Dewey Continuation Academy,Family & Community Engagement,School Culture,Project Re-Connect,"Gang Intervention; Through family group counseling sessions, workshops, parenting classes and youth activities, the agency works to re-connect at-risk East Bay youth to their families, communities and schools.",Family Counseling/Violence Prevention,11/11/2011,,,,,
High School,Dewey Continuation Academy,Health & Wellness,,ASPIRE New Bridge Foundation ,Drug/Alcohol classroom intervention,Health Services,11/11/2011,,,,,
High School,Dewey Continuation Academy,Health & Wellness,,East Bay Agency for Children,Mental Health Counseling,Mental Health Services,11/11/2011,,,,,
High School,Dewey Continuation Academy,Health & Wellness,,East Bay Asian Youth Center (EBAYC),Case Management,Mental Health Services,11/11/2011,,,,,
